# MOVE graph names, keyed by CPathID (CRC-32 of the lowercased name).
# Generated by `jackall-cli move names`; do not hand-edit.
# Recovered from the *named.bin authoring twins by hashing every string they
# hold and keeping the ones a loadable graph actually keys on - so every row
# here is self-proving, and the twins' own format never had to be decoded.
003CC546	ml12_se03_Victim_SitAlerted_idle
513D5246	sm02_se01ufll_boss_wait
516DB352	sm08_se01ufll_helper_exit_idle
5171EAE1	ml06_se01_helper_exit
517D94BA	unimog_dlc
5189AE6F	Ithaca
51902F1F	ML01_SE01_Boss_Offer
51DE993B	ML02_SE01_Helper_Rbst_AB_AD
52098E96	turret_axis
52679411	chaircolonial01
5279496F	flare_gun
5299ABBC	Pawn_ST_Rest_SitChairV1
52ADEACB	sm00_se01_TaxiDriver_Event_110
52BCF4A7	pawn_gesture_handshrugb
52F56F8B	pawn_gesture_intimidatingV1
535AD081	sm08_se03_ufll_Boss_Dead_idle
5360FAAA	ml07_se04_Informant_Exit_idle
5366C317	pawn_gesture_fingerjaba
536F80FC	sm00_se01_TaxiDriver_Event_010
537ED4DB	sm10_se02_buddy_dialb
53988BF2	ML01_SE01_Helper_Offer
539D6C3D	sm08_se03ufll_jackc_greet_00
540A3D39	ML11_SE01_Helper_Recap_Idle
543F3B5F	ml01_se03_ChiefsBrother_Exit_idle
5460E13B	sm02_se01ufll_boss_a0
546B609A	sm02_se01apr_boss_greet
54981524	Pawn_ST_Abort_Stand_Generic
54A58162	ml04_se01_helper_exit
54F8D245	Pawn_ST_Duty_ExamineMap
551FEE94	ML10_SE01_Helper_Convo
5550F4E0	sm00_se01_GuardRight1_Event_80_StartIdle
5559D495	ML07_se01_Boss_Rbst_AB_AD
559718B4	ML12_SE01_Helper_Accept_Idle
559C7DAD	pawn_gesture_ThroatSlash
55A3F073	Pawn_Gest_IntimidationSit
55C9CA5B	buddydown
55EE9598	star_model_p
55F411EC	ML01_SE01_Helper_Recap
5627FDD7	ML06_SE01_Helper_Convo_Idle
56296AE1	sm02_se01apr_boss_recap
568006F9	3rdGe_FulB_Blind2Crouch_+000Fw_PrAk4_I1
569BC4D4	ML07_SE04_DJLord_SitIdle
56AEDC6A	sm08_se01ufll_boss_recap_idle
56C7812F	sm02_se01apr_boss_a0
56CFD84E	Pawn_Generic_PlantWeapon
56DD3CF4	sm08_se01apr_boss_c0
56F82A36	ml01_se04_Victim_Greet
5707215A	Pawn_ST_Rest_Sit3Pre
5713D6A5	Pawn_ST_Duty_Guard3Post
571ACF72	pawn_st_duty_diamondpost
571C36E0	ML09_SE01_Helper_Rbst_AA_AC
573DC943	pictureframe
573FC2EA	pawn_gesture_CoverEars
57608C46	buddyrescue_event2
5799F043	sm11_se01apr_boss_exit_idle
57BCB207	sm01_se01_jackc_idle
57BE04A8	Pawn_Generic_Melee_Charge_Begin_FullBody
57BE8D9C	Pawn_ST_Social_Boxing
57C7EED5	ML08_SE01_Boss_GreetAA
57EB42B5	pawn_gesture_LookAround
57EDD808	sm08_se01apr_helper_greet_idle
5802646B	ML05_Base_Boss_GreetAB
580DD2F3	buddyrescue_exit1
58393232	sm10_se02_guard02_wait01
584BAB56	pawn_gesture_LostPanic
586C979D	pawn_player_machete_killground_begin
5871CEAA	Pawn_ST_Rest_SleepBedV3Pre
58782093	ML05_Base_Boss_Finish_Idle
5882DAB3	pawn_gesture_confused2
588B9164	electricalbox01
588C3631	pawn_hmrhealth_oncovercallhelp
589A4DDC	Pawn_ST_GazelLieDown
589B38F7	SM16_SE01_Jack_Exit_Idle
58B470EB	ML01_SE03_ChiefsBrother_DialA_Pickfile
58B6AD26	ml12_se03_Victim_Stand_idle
58D9E58C	Pawn_Generic_DesertCollapse
59009F9E	ML04_SE01_Boss_GreetAC
591DEB95	sm02_se01ufll_boss_greet_b
5929571F	Pawn_Gesture_BeckonSmall
59501EE4	Pawn_Generic_Computer_Cycle
595A1C02	ML12_SE01_Boss_Convo
59FB25D0	pawn_hmrhealth_toknee
5A026A21	pawn_gesture_shove1right
5A399677	ML09_SE01_Helper_Offer
5A94E52F	ML05_Base_Helper_PickUp_File
5A9D20FB	ML12_SE01_Helper_Exit_Idle
5AA1FEE9	BodyWhaWha_GestLayer_A2_IntHigh
5AB3A9F9	ML06_SE01_Boss_GreetAB
5AB8012E	ML02_SE01_Boss_GreetAD
5AD93DE7	ml02_se01_helper_exit
5AE8698A	ML08_SE01_Helper_Rbst_AB_AD
5AFFB8FF	Pawn_ST_GazelLieDownPre
5B0C12F6	Pawn_Sync_Machete_FinishFlip
5B3A5850	Pawn_Generic_MapCompass_Targeting
5B7E3A22	Pawn_ST_Rest_PushupPost
5B8C192A	gm00_se01_greet
5BEE32EC	cabinet01
5C23DAD7	sm03_se02a_marty_convo
5C2AC651	ML03_SE01_Helper_Rbst_AA_AC
5C2CD9CC	gm00_se01_brief_b
5C399643	Pawn_Gesture_Wave1
5C550C69	ML09_SE01_Helper_Recap
5D41AC4E	Pawn_ST_Layer_Drink1Pre
5D64D00C	Pawn_ST_Rest_LeanHoriz3
5DA0300E	pawn_generic_healsyringe
5DDE6DE0	ML06_SE01_Boss_GreetAF
5E491C42	Pawn_Vehicle_Dive_Right
5E4AD374	sm10_se02_buddy_RemoveBrick
5E62A405	sm08_se01apr_helper_briefing
5E77CC2D	Pawn_ST_Rest_Sleep1Post
5EB9B93D	ML03_SE01_Boss_Finish_Idle
5EE518AE	ML07_se01_Boss_Finish_Idle
5EE8032A	sm04_se01_corpse01_idle
5EFC5FBE	sm06_se01apr_boss_rbst
5F1DCCE8	sm11_se01apr_boss_convo_idle
5F2160AE	Mp_DeathRecover
5F3A8C65	sm02_se01apr_boss_accept
5F6FA072	ML05_Base_Boss_GreetAF
5F77584A	sm08_se03apr_player_greet_00
5F825CF6	pawn_st_duty_firstaidapre
5F93E3D0	sm01_av01_deserteagleanchor
5FA35262	sm05_se01a_player_drinkrecoverwait
5FAEEC83	ML09_SE01_Helper_PickUp_File
5FDF5F22	ML07_se01_Helper_Rbst_D
5FF1D138	sm10_se02_brokenwall_wait03
5FFDAA9E	Pawn_ST_Rest_PhoneNoSignal
60027F0B	Pawn_Generic_Die
600E90D6	ML06_SE01_Helper_Greet_Idle
6019A70C	sm08_se01ufll_helper_pickupfiles
60216C71	pkg_a3sm16_se01
60493CA3	sm02_se01ufll_boss_recap
60660CE0	pkg_a2lm12_se05
6069F61F	pawn_st_abort_liedown
607AAEE7	ML11_SE01_Helper_Accept_Idle
609B8849	sm00_se01_TaxiDriver_Event_130
60DC5C1B	briefcasediamonds
60FB7D00	cine_civ03
6137D8A2	dlc1_sawedoff_shotgun
614E9C12	sm11_se01ufll_boss_wait
6159E27E	sm00_se01_TaxiDriver_Event_030
61623D99	pawn_st_duty_surveillancepost
61C4B509	sm08_se01apr_helper_convo_idle
620B36D8	sm02_se01ufll_boss_greet
624000FA	Pawn_Machete_killground_begin
627DDDEF	base_animateddoor
6288FC8F	ml00_base_player_sit
62B7700C	ML06_SE01_Boss_Abort_AB
62C799CC	Pawn_ST_Duty_ReloadGrenade
62EBF5AF	sm04_se03_jackc_brief_ab
631711EB	Pawn_Generic_Revive_GetUp
6322D9D8	ML08_SE01_Boss_Rbst_C
632CC22C	BodyWhaWha_GestLayer_A1_IntHigh
6354E05A	ML03_SE01_Boss_GreetAF
636453DD	Pawn_ST_Rest_RestButtTablePost
6364FC23	cine_civfemale_walk03
6383156D	sm02_se01apr_boss_accept_idle
6418AECE	sm11_se01apr_boss_greet
64328C94	ML07_se01_Boss_GreetAD
64392443	ML03_SE01_Boss_GreetAB
643975BC	sm00_se01_TaxiDriver_Drive_080
645CADF0	pkg_a2sm04_se01
646BAC75	pawn_buddydown_cradleidle2
648A4272	Pawn_Vehicle_Barge_Driving
64C81515	ml00_base_Guard_ExitOpen
64CFC6DC	sm11_se01apr_chair
64CFCB51	Quadruped_Generic_Movement
64EB5E76	sm08_se01apr_boss_a0
64F1E3AD	sm02_se01apr_boss_c0
650804EE	Pawn_ST_Duty_Inventory1Post
6508DC8D	sm04_se01_player_walkinginsandstorm
6561D451	pawn_buddydown_CradleDegenerate2
6571E769	pawn_buddydown_buddycall
65D58B1B	sm11_se01ufll_boss_accept
65E26DA6	pawn_st_duty_megaphonepre
65E9B7A9	pkg_a2sm06_se01_apr
660FC914	Pawn_Generic_Vehicle_GetIn
665683B9	sm02_se01ufll_boss_c0
665AA4B5	sm11_se01apr_boss_recap
66E8FED4	Pawn_Generic_Revive_FallDown
66EDAD02	Pawn_ST_Rest_RestButtTablePre
6707BD26	ML03_SE01_Boss_Convo_Idle
673FCAA0	ML01_SE01_Helper_Convo_Idle
6751117D	anchor
676043DF	pawn_social_aimedat_end
676CCE4C	Pawn_Generic_MagicCratePick
6786B207	sm10_se02_guard02_DialSpotB
6787CE30	Pawn_Generic_MagicCrateSwitch_End
678A1224	ML01_SE01_Boss_GreetAC
6796B919	cine_civ07
679EBA0F	Pawn_Generic_Movement
67BD60DD	ml11_se01_helper_exit
67DB6E54	civilians_male01_reactionPre
67FCEE1B	pawn_gesture_raisefistleft
681235D2	Pawn_Generic_Aim
682202BC	ml07_se04_Informant_Stand_idle
68508EB9	DLC_Unimog_RepairVehicule_End
68525608	sm10_se02_guard02_gettingprisonner
68C3B639	ML06_AV01_player
69209A6D	BodyWhaWha_GestLayer_A1_IntLow
6934A1E9	sm11_se01apr_boss_greet_idle
693C962D	ml04_se01_helper_greet
69B898FE	sm03_se02b_ChurchAssault04
6A0117A2	Pawn_Generic_UnJamTry
6A104AFC	pkg_a2sm05_se01b
6A5AF2A5	sm06_se01apr_boss_pickupfiles
6A7CA75F	Pawn_ST_Layer_BiteFingerNails
6A7F2C15	Pawn_ST_Duty_RefuelVehicle1Post
6AEEA3BC	sm01_av01_player
6B43FF20	Grin_trade_TapeForPiles
6B4E14D6	Pawn_ST_Abort_Guard2
6B7E9C56	ML04_SE01_Helper_Recap
6BD13B44	BodyWhaWha_BaseLayer_SitChair
6BFC27A1	sm08_se03_apr_jackc_exit_00
6C2179D5	ML04_SE01_Boss_Rbst_AB_AD
6C5E666D	sm11_se01apr_boss_exit_idle1
6D120648	ML04_SE01_Helper_Offer
6D1C71D8	civilians_couple_female_reaction
6D2B7319	ML12_SE05_Teacher_DialB
6D32F126	ML04_SE01_Helper_Rbst_AA_AC
6D428927	ML05_Base_Helper_Rbst_AA_AC
6D6540FA	DesertEagle
6D66DB1B	pawn_generic_slidefinish
6D909535	Pawn_ST_Duty_Oratory
6DAF3C1C	sm08_se03_apr_JackC_Rbst
6DC87777	sm08_se01ufll_boss_b0
6E12874B	ML04_SE01_Helper_Rbst_C
6E2B0FA1	ML09_SE01_Boss_GreetAC
6E4A927B	Pawn_ST_Rest_SleepBedV1Abort
6E76CE24	mp5_sd3
6E7E40BA	pawn_st_social_conversation
6EC751A9	sm08_se01ufll_boss_greetb
6F1CA942	3rdGe_FulB_BspStandIdle01+000Fw_NoWep_I1
6F3E1BBF	pawn_gesture_HoldPosition
6F597B05	Pawn_Gesture_Knock
6FBF523C	ml12_se05_informant_Exit_idle
702FD9E6	ML02_SE01_Boss_Convo_Idle
704CA95D	M79
7071D24C	Pawn_ST_Rest_RestButtTable
70816B69	AS50
70930703	pawn_gesture_DiscouragementV2
70B07055	Pawn_Generic_Melee_Charge_Slash
70E0232C	Pawn_ST_Rest_Drink2
70F23263	sm06_se01ufll_boss_greet
70FA6FD3	pawn_st_duty_potatoa
71025354	ML06_SE01_Boss_Offer
71027A8E	pawn_generic_takewhiskybottle
7172EB65	ml12_se05_informant_Stand_idle
718E082F	surface_target
71A5EFB3	sm11_se01apr_boss_rbst
71A71C57	ML02_SE01_Boss_Rbst_C
720D5D3D	pawn_hmrhealth_lyingcallhelp
728169FF	urbantablesquare01
7287DDED	ML11_SE01_Boss_GreetAF
72B03818	sm06_se01ufll_boss_recap
730599EE	DLC1_DumpWeapon
73076D26	Pawn_ST_Rest_Lean1_right
7314825A	dlc1_crossbow
73542667	DLC_Quad_RepairVehicule_Start
736C5F24	sm10_se02_player_outro
7393811B	Pawn_ST_Duty_ChopUpCarcass
73993AD1	pawn_st_duty_First_Aid_In_Second
73A57F34	ML01_SE01_Helper_PickUp_File
73F04149	ml12_se05_informant_SitAlerted_idle
73F1CB13	sm08_se01ufll_helper_rbst
74558F3D	ML02_SE01_Helper_Rbst_D
7457D66F	BodyWhaWha_GestLayer_A0_IntHigh
746B5455	gm00_se01_idle
746C3B73	Pawn_Generic_Fall
74D34636	sm08_se01ufll_boss_c0
74FDE87D	Pawn_Generic_Malaria_Attack
7503DE2B	DLC1_SingleBulletReload_Loop
7518E66E	pawn_st_abort_sitcouch
7520F7FD	pawn_generic_die_hit_Location
753034BB	OpenOutsideDoor_Player
759C18DC	sm10_se02_brokenwall_singlebrickbreak
75B85288	ML10_SE01_Helper_Greet_Idle
75EA19F4	ML11_SE01_Boss_GreetAB
75EB9900	ML12_SE01_Helper_Rbst_C
75EDE32A	Pawn_ST_Rest_Eat1
760BFA99	Pawn_Sync_Machete_FinishGround
7639E228	DLC_Unimog_GetOut
765096D7	sm06_se01apr_boss_convo_idle
766F4DF3	sm04_se01_corpse02_bounce
76A8FE6B	pawn_st_duty_diamondpre
76E020DB	Pawn_buddyrescue_short
77027EC8	civilians_female02_reactionPre
77A3D8AF	pawn_st_duty_loot
77C0F68A	Pawn_Generic_LadderGetInTop
77C80385	DLC1_MagicCrateSwitch_End
78160AD5	sm08_se03apr_jackc_brief_cb
7842D33F	sm00_se01_TaxiDriver_Event_020
785C7B4C	DLC1_SlideStart
787B45FB	Pawn_Gesture_Beckon
78843378	ML12_SE01_Helper_Rbst_AA_AC
788E3BD6	pkg_a2sm08_se01_ufll
78926963	DLC1_PrepareWeapon
78B0443A	sm10_se02_buddy_wait01
79190002	Pawn_Generic_JumpDown
794E6E47	ML10_SE01_Boss_Abort_AB
796093AA	Pawn_ST_Duty_KickFire
7980B908	sm00_se01_TaxiDriver_Event_120
79C324D1	Pawn_Generic_Throw_Fullbody
79C9FA4A	player_pushed
79E428D6	Pawn_Sync_Machete_FinishDisarm
79F1D67D	Pawn_ST_Rest_PhoneTalkAbort
7A0FCB51	ML06_SE01_Boss_Rbst_C
7A465E99	ML07_se01_Helper_Convo
7A5746FD	pawn_hmrhealth_kneeidle
7AFB583C	sm01_se01_player_lyingbed_idle2
7B20871A	pkg_a2sm08_se01_apr
7B347A1A	sm10_se02_player_intro
7B4F3B6B	ML08_SE01_Boss_Abort_AB
7B5BD21A	pawn_hmrhealth_carrytocover
7B80BA01	pawn_gesture_VehicleCollision
7BAA5153	BodyWhaWha_BaseLayer_FastExit_Right
7BED2AD6	pawn_gesture_AskingForHelpV1
7C257DEE	Pawn_ST_Rest_Lean1_rightabort
7CB375EC	DLC1_MagicCratePick
7CB433A9	ML05_Base_Boss_Abort_AB
7CBED16E	pawn_hmrhealth_healerkilled
7CC5ADA9	sm03_se02a_marty_push_wait
7CD39593	Pawn_ST_Rest_LeanVTPre
7CDF1622	pkg_a1gm00_se02
7D0A8E65	ML11_SE01_helper_abort_AB
7D365B6D	ML01_SE03_ChiefsBrother_Greet_Idle
7D546F40	Pawn_Generic_LadderGetOutBottom
7DB37363	Pawn_ST_Rest_Lean1Post
7DDBCE9B	pawn_gesture_raisefistright
7DEAD2EC	sm02_se01apr_boss_b0
7DF1DCFC	pkg_a3sm16_se02b
7E5C422A	Pawn_ST_Rest_SitOnGroundV1Post
7EA0C55C	Pawn_Generic_RepairVehicle_End
7ED4F6D0	ML05_Base_Boss_Rbst_AB_AD
7EED155F	Pawn_Generic_MagicCrateSwitch_Start
7EF2E3AB	sm03_se02a_marty_convo_wait
7F1BE861	Pawn_Vehicle_Barge_Start
7F4D9A0D	pawn_st_rest_leanvt_leftabort
7F4DB2F8	sm02_se01ufll_boss_b0
7F70350B	ML01_SE01_Helper_Abort_AA
7F7E19A7	ML01_SE01_Boss_Greet_Idle
7FB1296B	Pawn_ST_Duty_Guard3Pre
7FBF33D2	pkg_a2lm07_se03
7FDBA0D2	ML04_SE01_Boss_Rbst_C
7FE8FDAE	3rdge_fulb__bspsitbenchidle01+000fw_nowep_i1
80256E8D	ML09_SE01_Boss_GreetAA
80535509	sm02_se01apr_boss_greet_a
805FF708	pawn_st_social_potatobpre
8073DD2E	sm02_se01ufll_boss_convo_idle
8079CF04	SM09_SE05_Buddy_KneeToStand
807A52EF	BodyWhaWha_BaseLayer_Stand_NoTurn_Left
80DB3DCB	sm03_se02b_ChurchAssault02
80E42C09	Pawn_Generic_Open_Door
80EDFD80	sm08_se03ufll_player_greet_00
813B873A	pawn_gesture_gaga
81D47C32	Pawn_ST_Duty_Inventory2
82280EEF	pawn_generic_slidestart
826FD297	Pawn_ST_Rest_SitChairV3Abort
828A4C2A	pawn_gesture_PanicV2
82AD3BB5	sm00_se01_TaxiDriver_Event_080
82D1437A	Pawn_Generic_SingleBulletReload_Cycle
82D48B6A	sm10_se02_guard01_gettingprisonner
82FD6ECC	ML11_SE01_Helper_Convo
83057605	Pawn_ST_Rest_SitChairV1Pre
831B9B1F	ML09_SE01_Helper_Greet_Idle
83570899	pawn_st_social_potatobpost
835E610B	pawn_hmrhealth_kneecallhelp
8360DD93	pawn_st_duty_surveillance
83700CBE	Pawn_St_Duty_KickTire
839D46C8	sm08_se01ufll_boss_rbst
83DAC83A	pawn_st_rest_leanbackwall_armpre
83F3D69F	ML01_SE01_Boss_Abort_AB
83FBA837	Pawn_ST_Duty_ExamineMapAbort
841E0662	Pawn_ST_Rest_Drink2Post
842475BA	ML08_SE01_Boss_Convo
8494066B	sm10_se02_buddy_DialSpotB
85110A5E	ML01_SE01_Helper_Rbst_AA_AC
852004BB	ML11_SE01_Boss_Abort_AA
85297DD8	ML03_SE01_Boss_Rbst_AA_AC
85A3C981	ML12_SE01_Boss_Rbst_AB_AD
85ACBFD8	ML03_SE01_Boss_Offer
85B1A653	DLC_Quad_RepairVehicule_End
85BDD311	Pawn_ST_Rest_Drink
85C5CAF4	Pawn_ST_Rest_SmokeOnChairPost
8637CDD4	Pawn_ST_Rest_SleepBedV2Post
863FF317	Pawn_Multi_Radio_Adjust
8713EDF4	Pawn_Gesture_Lookclose
87215197	ML09_SE01_Boss_Abort_AA
87257DC5	Pawn_ST_Rest_SitChairV3Post
8725AE28	Pawn_ST_Rest_EatHandFoodPost
8748AA94	ML09_SE01_Boss_GreetAE
87670870	ML01_SE01_Helper_Accept_Idle
87B68EB6	civilians_couple_male_reaction
87B6F9D2	sm03_se02b_ChurchAssault06
87CDAC77	sm00_se01_TaxiDriver_Drive_030
882D6BAE	ML03_SE01_Helper_Greet_Idle
888BF953	ancor_safehouse_exercise1
88A99BF9	sm11_se01ufll_boss_exit
88B7C96B	sm08_se01apr_helper_greet
88C2179A	Pawn_BuddyRescue_BuddyEvents
88CBE4C1	sm00_se01_ConvoyGunner_Event100
88D26B55	pawn_st_social_drinkbeercrateBpre
88D33177	sm03_se02b_priest_beckon
88D6DDB6	ml07_se04_Informant_Greet
88EFD63C	ml10_se01_helper_exit
890312F7	pawn_st_duty_fishing
8905A9D5	pkg_a2lm12_se03
893CF139	Pawn_ST_Rest_PhoneNoSignalPost
8940AFCE	Pawn_ST_Rest_DrinkPre
8953EA81	Quadruped_Eat
8971EC4D	Pawn_Generic_DumpWeapon
89847308	ML01_SE01_Boss_GreetAA
8998D835	cine_civ05
899E65EF	Pawn_ST_Rest_LeanHoriz3Post
89BCFA3F	pawn_st_social_drinkbeercrateB
89C3CCD5	ML08_SE01_Boss_Rbst_AB_AD
8A1277FC	Safehouse_Interactable
8A164C00	sm11_se01ufll_boss_recap_idle
8A3CEDB8	ML07_se01_Boss_GreetAF
8A469296	Pawn_St_Duty_WriteNotepadLoop
8A52CCDC	pkg_a2sm04_se03
8A9E1FCE	ml00_base_Guard_DoorOpenIdle
8AC06A93	pawn_Gesture_Staydown
8AF5C310	sm08_se01apr_helper_recap
8B08BFFD	Pawn_ST_Rest_TieShoes
8B5C092B	pkg_a1sm02_se01_ufll
8B97E52B	sm11_se01ufll_boss_exit_idle
8BB78C31	ML08_SE01_Helper_Recap
8BCFB407	sniper_m1903
8BECA7B2	pawn_gesture_hangout
8C152587	pawn_st_duty_sniperspotterapre
8C706F39	ML09_SE01_Boss_Rbst_C
8C9EC085	Pawn_St_Duty_PaperworkPost
8CA6E50D	weapcase_special
8CDA7813	pawn_buddydown_cradlegunchintosyrette
8D01B044	SM16_SE01_Jack_Rbst
8D073684	Pawn_Generic_Malaria_HealGround
8D177C2F	pawn_gesture_HurryUpV2
8D2F7222	ml05_base_helper_exit
8D3B430A	ML02_SE03_Politician_Diala
8D3BBDBF	ml12_se01_helper_exit
8D5129A1	ML07_se01_Boss_GreetAB
8D5A8176	ML03_SE01_Boss_GreetAD
8D668CC5	ML10_SE01_Boss_Convo
8D6A9D0F	cine_civfemale_walk01
8D80EA40	sm02_se01ufll_boss_accept_idle
8DCD14DE	Pawn_ST_Duty_Guard2
8DDB162F	ML08_SE01_Helper_Offer
8DEDDC2C	sm02_se01apr_boss_convo_idle
8E0F96E0	MAC10
8E216069	ML02_SE01_helper_accept
8E38B0C4	BodyWhaWha_BaseLayer_LeanBar_ThenStand
8E49EB33	sm08_se01apr_boss_greet_b
8E4DDCDA	sm03_se02a_marty_beckn
8EB4C4F5	Pawn_Generic_MagicCrateDrop
8EB6370E	sm08_se03apr_player_brief_cb
8ECC604D	BodyWhaWha_BaseLayer_LeanBar
8EE9B711	ML01_SE01_Boss_GreetAE
8EF51C2C	cine_civ01
8F16201C	pawn_generic_malaria_attack_in
8F172F41	pawn_gesture_raisefistrighta
8F1C31D8	ML04_SE01_Helper_Convo_Idle
8F1E6A24	pawn_hmrhealth_kneetostand
8F409A04	sm11_se01ufll_boss_pickupfile
8F5621D8	ML03_SE01_Helper_Rbst_C
8F6C49D9	ML05_Base_Helper_Convo_Idle
8FC94C06	Pawn_Gesture_ThumbsDown
8FF8B793	USAS12
9011B442	Pawn_PickupDiamond
90A9971D	Pawn_Generic_Revive_Sync
90CE6085	Pawn_ST_Rest_SmokePre
913C0CBD	ml04_se03_informant_Greet
913D39A6	sm10_se02_brokenwall_multibrickbreak
915FFFE9	DLC1_SingleBulletReload_Begin
9187A678	ml12_se01_helper_greet
91B0D9EB	Pawn_ST_Rest_SitChairV2Pre
91E70BEF	Pawn_ST_Rest_RestButtTableAbort
92011918	ML02_SE01_Boss_Rbst_AA_AC
921841C8	pawn_st_social_scootoverbsit
921A0A48	sm08_se01ufll_boss_accept_idle
928673FC	Pawn_ST_Rest_Leanhoriz2Abort
92AA8D95	Pawn_Generic_Aim_First
931EB9B5	SM16_SE01_Jack_Convo_Idle
9325ADFD	SM16_SE01_Jack_Accept
932C9414	Pawn_Sync_Machete_Miss
932E537B	ML03_SE01_Helper_Convo
93535A62	Pawn_Generic_Computer_Begin
935A07E0	Pawn_Generic_Die_Ragdoll
935D33F8	Pawn_Generic_LadderGetOutTop
93A31AEA	Pawn_ST_Duty_FixWeaponPost
93ADAABB	map
93B68EEC	pawn_st_duty_potatoapost
93C5AC03	ML12_SE01_Helper_Recap
93EAA768	DLC1_UnJamTry
9478B20F	Pawn_ST_Duty_WipingTablePost
94B8D9A3	ML11_SE01_Helper_PickUp_File
94F60277	pawn_hmrhealth_lyingtocarry
955C9246	sm08_se01apr_helper_accept
955D7DB0	ML07_se01_Boss_Rbst_C
956B7F55	DLC1_MagicCrateDrop
956F4D6D	sm00_se01_GuardLeft1_Event_80_StartIdle
9576342C	Pawn_Generic_Die_Final
95A9361D	ML12_SE01_Helper_Offer
95D67DB6	Pawn_Generic_RepairVehicle
96742B65	Pawn_ST_Duty_WeldingPre
9685A84C	pawn_st_social_drinkbeercrateBpost
96C44DF9	quad
96C8A99F	Pawn_Machete_HitLeft
96F7E845	pawn_gesture_SearchTargetLow
970EFA1D	Pawn_ST_Duty_Welding
9714538A	Pawn_Sync_Machete_FinishSlam
972BEE6D	pawn_hmrhealth_standtoknee
97649B94	pawn_gesture_oka
97783CD6	Pawn_St_Duty_WriteNotepadlooppost
9785EB6B	Pawn_ST_Rest_Sit2
97952715	Pawn_Generic_Revive_GetUp_FromSync
97A1C9FA	sm03_se02a_marty_diala
97FFBDE5	Pawn_Machete_HitRight
9820688B	Pawn_ST_ChickenSit
984C4B4D	SM09_SE05_Buddy_StandToKnee
9894C4AD	3rdge_fulb_bspbkn01+000fw_nowep_i1
98A977F8	pawn_st_duty_LightFire
98B4142F	DLC1_Slide
99A4E175	sm06_se01ufll_boss_exit_idle1
9A1F06F3	DLC1_Shoot
9A650DAF	sm06_se01ufll_boss_rbst
9A95BF1D	SocialInteraction
9AAAF386	ML12_SE01_Helper_Convo_Idle
9AADE15F	sm03_se02b_civma1_convo_idle
9AAF23B0	sm00_se01_CivilianTrash1_Event_140
9AC41029	SM09_SE05_Buddy_KneeIdle
9B0834DB	sm08_se03ufll_player_brief_d0
9B21C135	ML01_SE01_Boss_Rbst_C
9B2ADF3D	sm04_se01_player_IdleTruck
9B381057	pawn_gesture_IDontKnow
9B61B26B	Pawn_Gesture_Dismiss
9B68E06D	Pawn_Generic_SingleBulletReload_End
9B7F5F8F	sm06_se01ufll_boss_accept
9B845A8C	ML04_SE03_Informant_TalkMic_DialB_DialC
9B8FF859	Pawn_St_Duty_Paperwork
9B97E79F	Pawn_Generic_OpenDoor_Inside
9BB60AF4	sm00_se01_TaxiDriver_Event_090
9BF45E98	ML07_SE03_Minister_Greet_Sit2Stand
9C6DEE3C	ml07_se04_informant_Intimidation
9C854618	Guard_OpenMainDoor_Outside_Guard
9C89BCC1	ML11_SE01_Boss_GreetAD
9CCE26F1	sm06_se01ufll_boss_greet_idle
9D362A08	ML02_SE01_Helper_Rbst_B
9D5332ED	SM16_SE01_Player_PutDown_BriefCase
9D6C4C7A	pawn_hmrhealth_standidle
9DC890AA	Pawn_Gesture_SoSo
9DD6F237	SM16_SE01_Jack_Recap_Battery
9E68E49F	sm01_se01_player_lyingbed_idle
9E837928	sm16_se02a_player_idle
9EA236E5	pawn_hmrhealth_kneeexpire
9EC8E0C7	Pawn_Sync_Machete_FinishPush
9ED3923F	Pawn_ST_Layer_WipeFace
9ED69D36	sm00_se01_TaxiDriver_Drive_020
9ED91AF0	ML07_se01_Boss_Abort_AA
9EEBA815	ML09_SE01_Boss_Rbst_AB_AD
9EF5AAB6	ML03_SE01_Boss_Rbst_C
9F14F701	sm00_se01_TaxiDriver_Drive_120
9F3B8643	pawn_gesture_handsup1
9F58B67A	Pawn_Player_Rescue_Fall
9F5E1173	Pawn_ST_Rest_SitOnGroundAbort
9F6AE22F	Pawn_ST_Rest_SitChairV4Abort
9F77D19B	Buddy_Unlock_wait_idle
9FC9B2B0	pawn_gesture_loudnoiseclose
A0275485	Pawn_Generic_LeanLower
A054CF69	Pawn_ST_GazelLieDownPost
A08BD542	Pawn_Sync_Machete_FinishGrenade
A08E80CE	pawn_st_abort_kneeright
A0D6395E	BodyWhaWha_BaseLayer_FastExit_Left
A0F71DD0	sm00_se01_Player_Malaria1
A108302A	sm08_se01ufll_helper_accept
A13A39D4	sm08_se01apr_boss_exit_idle
A13D6ABC	pawn_st_social_potatob
A14A2AEA	cine_civmale_walk03
A1556FF0	ML12_SE01_Helper_PickUp_File
A17F34A8	sm08_se01ufll_boss_recap
A18F782C	sm06_se01ufll_boss_briefing
A1BBAFCB	ML12_SE01_Boss_GreetAC
A1BFFF77	ML10_SE01_Helper_Rbst_AA_AC
A1C9258A	buddyrescue_entry0
A1F09E2F	sm00_se01_CivilianBridge1_Event_130
A20899AC	ML10_SE01_Boss_GreetAB
A292E824	sm03_se02b_priest_wait
A298A7A6	computer
A2A9F4AE	ML08_SE01_Helper_Recap_Idle
